"district_name","occupation_name","total_registered","total_non_registered"
"BAGERHAT","Computer Operation and Graphics Design","39","0"
"BAGERHAT","Electrical Installation and Maintenance","20","0"
"BAGERHAT","Tailoring and Dress Making","20","0"
"BANDARBAN","Computer Operation and Graphics Design","19","1"
"BANDARBAN","Electrical Installation and Maintenance","17","3"
"BANDARBAN","Tailoring and Dress Making","40","0"
"BARGUNA","Beauty Care","20","0"
"BARGUNA","Computer Operation and Graphics Design","20","0"
"BARGUNA","Food and Beverage Production and Service","20","0"
"BARGUNA","Plumbing and Pipe Fitting","20","0"
"BARISAL","Electrical Installation and Maintenance","20","0"
"BARISAL","Food and Beverage Production and Service","20","0"
"BARISAL","Mobile Phone Servicing","20","0"
"BARISAL","Tailoring and Dress Making","20","0"
"BHOLA","Electrical Installation and Maintenance","20","0"
"BHOLA","Food and Beverage Production and Service","20","0"
"BHOLA","Refrigeration and Air Conditioning","20","0"
"BHOLA","Tailoring and Dress Making","20","0"
"BOGRA","Automotive Mechanics","20","0"
"BOGRA","Computer Operation and Graphics Design","20","0"
"BOGRA","Electrical Installation and Maintenance","20","0"
"BOGRA","Tailoring and Dress Making","20","0"
"BRAHMANBARIA","Electrical Installation and Maintenance","20","0"
"BRAHMANBARIA","Masonry and Rod Binding","20","0"
"BRAHMANBARIA","Mobile Phone Servicing","20","0"
"BRAHMANBARIA","Tailoring and Dress Making","20","0"
"CHANDPUR","Computer Operation and Graphics Design","38","2"
"CHANDPUR","Electrical Installation and Maintenance","20","0"
"CHANDPUR","Tailoring and Dress Making","18","2"
"CHAPAI NABABGANJ","Computer Operation and Graphics Design","20","0"
"CHAPAI NABABGANJ","Consumer Electronics","20","0"
"CHAPAI NABABGANJ","Electrical Installation and Maintenance","20","0"
"CHAPAI NABABGANJ","Tailoring and Dress Making","20","0"
"CHITTAGONG","Computer Operation and Graphics Design","19","0"
"CHITTAGONG","Mobile Phone Servicing","20","0"
"CHITTAGONG","Refrigeration and Air Conditioning","18","0"
"CHITTAGONG","Tailoring and Dress Making","20","0"
"CHUADANGA","Automotive Mechanics","40","0"
"CHUADANGA","Electrical Installation and Maintenance","20","0"
"CHUADANGA","Plumbing and Pipe Fitting","20","0"
"COMILLA","Computer Operation and Graphics Design","20","0"
"COMILLA","Electrical Installation and Maintenance","20","0"
"COMILLA","Refrigeration and Air Conditioning","20","0"
"COMILLA","Tailoring and Dress Making","20","0"
"Cox's Bazar","Computer Operation and Graphics Design","39","0"
"Cox's Bazar","Tailoring and Dress Making","40","0"
"DHAKA","Food and Beverage Production and Service","40","0"
"DHAKA","Masonry and Rod Binding","20","0"
"DHAKA","Tailoring and Dress Making","20","0"
"DINAJPUR","Computer Operation and Graphics Design","19","0"
"DINAJPUR","Electrical Installation and Maintenance","19","0"
"DINAJPUR","Plumbing and Pipe Fitting","19","0"
"DINAJPUR","Tailoring and Dress Making","19","0"
"FARIDPUR","Computer Operation and Graphics Design","20","0"
"FARIDPUR","Electrical Installation and Maintenance","20","0"
"FARIDPUR","Refrigeration and Air Conditioning","20","0"
"FARIDPUR","Tailoring and Dress Making","20","0"
"FENI","Computer Operation and Graphics Design","19","1"
"FENI","Electrical Installation and Maintenance","16","4"
"FENI","Refrigeration and Air Conditioning","18","2"
"FENI","Tailoring and Dress Making","20","0"
"GAIBANDHA","Computer Operation and Graphics Design","20","0"
"GAIBANDHA","Mobile Phone Servicing","20","0"
"GAIBANDHA","Plumbing and Pipe Fitting","20","0"
"GAIBANDHA","Tailoring and Dress Making","20","0"
"GAZIPUR","Electrical Installation and Maintenance","16","1"
"GAZIPUR","Mobile Phone Servicing","17","1"
"GAZIPUR","Refrigeration and Air Conditioning","17","2"
"GAZIPUR","Tailoring and Dress Making","20","0"
"GOPALGANJ","Automotive Mechanics","20","0"
"GOPALGANJ","Tailoring and Dress Making","20","0"
"JAMALPUR","Computer Operation and Graphics Design","39","0"
"JAMALPUR","Electrical Installation and Maintenance","40","0"
"JESSORE","Automotive Mechanics","20","0"
"JESSORE","Computer Operation and Graphics Design","20","0"
"JESSORE","Electrical Installation and Maintenance","20","0"
"JESSORE","Tailoring and Dress Making","18","0"
"JHALOKATI","Computer Operation and Graphics Design","19","1"
"JHALOKATI","Electrical Installation and Maintenance","18","2"
"JHALOKATI","Refrigeration and Air Conditioning","38","2"
"JHENAIDAH","Computer Operation and Graphics Design","19","0"
"JHENAIDAH","Tailoring and Dress Making","19","0"
"JOYPURHAT","Computer Operation and Graphics Design","20","0"
"JOYPURHAT","Electrical Installation and Maintenance","20","0"
"JOYPURHAT","Masonry and Rod Binding","20","0"
"JOYPURHAT","Plumbing and Pipe Fitting","20","0"
"KHAGRACHHARI","Computer Operation and Graphics Design","19","1"
"KHAGRACHHARI","Consumer Electronics","17","3"
"KHULNA","Beauty Care","20","0"
"KHULNA","Computer Operation and Graphics Design","20","0"
"KHULNA","Plumbing and Pipe Fitting","18","0"
"KHULNA","Tailoring and Dress Making","19","0"
"KISHOREGONJ","Computer Operation and Graphics Design","20","0"
"KISHOREGONJ","Consumer Electronics","19","1"
"KISHOREGONJ","Electrical Installation and Maintenance","19","1"
"KISHOREGONJ","Masonry and Rod Binding","19","1"
"KURIGRAM","Consumer Electronics","34","0"
"KURIGRAM","Electrical Installation and Maintenance","32","0"
"KUSHTIA","Computer Operation and Graphics Design","20","0"
"KUSHTIA","Consumer Electronics","20","0"
"KUSHTIA","Electrical Installation and Maintenance","20","0"
"KUSHTIA","Tailoring and Dress Making","20","0"
"LAKSHMIPUR","Electrical Installation and Maintenance","19","1"
"LAKSHMIPUR","Tailoring and Dress Making","19","1"
"MAGURA","Computer Operation and Graphics Design","20","0"
"MAGURA","Electrical Installation and Maintenance","20","0"
"MAGURA","Food and Beverage Production and Service","20","0"
"MAGURA","Refrigeration and Air Conditioning","20","0"
"MANIKGANJ","Computer Operation and Graphics Design","20","0"
"MANIKGANJ","Electrical Installation and Maintenance","20","0"
"MANIKGANJ","Refrigeration and Air Conditioning","20","0"
"MANIKGANJ","Tailoring and Dress Making","20","0"
"MAULVIBAZAR","Computer Operation and Graphics Design","18","0"
"MAULVIBAZAR","Food and Beverage Production and Service","20","0"
"MAULVIBAZAR","Plumbing and Pipe Fitting","20","0"
"MAULVIBAZAR","Tailoring and Dress Making","20","0"
"MEHERPUR","Electrical Installation and Maintenance","12","0"
"MEHERPUR","Plumbing and Pipe Fitting","19","0"
"MEHERPUR","Tailoring and Dress Making","30","0"
"MUNSHIGANJ","Computer Operation and Graphics Design","20","0"
"MUNSHIGANJ","Consumer Electronics","18","0"
"MUNSHIGANJ","Electrical Installation and Maintenance","38","0"
"MYMENSINGH","Beauty Care","20","0"
"MYMENSINGH","Computer Operation and Graphics Design","20","0"
"MYMENSINGH","Electrical Installation and Maintenance","20","0"
"MYMENSINGH","Tailoring and Dress Making","20","0"
"NAOGAON","Computer Operation and Graphics Design","20","0"
"NAOGAON","Electrical Installation and Maintenance","40","0"
"NAOGAON","Tailoring and Dress Making","20","0"
"NARAIL","Refrigeration and Air Conditioning","19","0"
"NARAIL","Tailoring and Dress Making","19","0"
"NARAYANGANJ","Computer Operation and Graphics Design","20","0"
"NARAYANGANJ","Mobile Phone Servicing","16","0"
"NARAYANGANJ","Tailoring and Dress Making","39","0"
"NARSINGDI","Computer Operation and Graphics Design","20","0"
"NARSINGDI","Electrical Installation and Maintenance","20","0"
"NARSINGDI","Food and Beverage Production and Service","20","0"
"NARSINGDI","Refrigeration and Air Conditioning","20","0"
"NATORE","Computer Operation and Graphics Design","20","0"
"NATORE","Electrical Installation and Maintenance","20","0"
"NATORE","Tailoring and Dress Making","40","0"
"NILPHAMARI ZILA","Computer Operation and Graphics Design","40","0"
"NILPHAMARI ZILA","Electrical Installation and Maintenance","18","0"
"NILPHAMARI ZILA","Tailoring and Dress Making","19","0"
"NOAKHALI","Computer Operation and Graphics Design","20","0"
"NOAKHALI","Consumer Electronics","20","0"
"NOAKHALI","Electrical Installation and Maintenance","19","0"
"NOAKHALI","Tailoring and Dress Making","20","0"
"PABNA","Computer Operation and Graphics Design","19","0"
"PABNA","Food and Beverage Production and Service","20","0"
"PABNA","Plumbing and Pipe Fitting","19","1"
"PABNA","Tailoring and Dress Making","20","0"
"PANCHAGARH","Automotive Mechanics","0","20"
"PANCHAGARH","Computer Operation and Graphics Design","0","20"
"PANCHAGARH","Consumer Electronics","0","20"
"PANCHAGARH","Electrical Installation and Maintenance","0","20"
"PATUAKHALI","Electrical Installation and Maintenance","19","1"
"PATUAKHALI","Mobile Phone Servicing","20","0"
"PATUAKHALI","Plumbing and Pipe Fitting","20","0"
"PATUAKHALI","Tailoring and Dress Making","20","0"
"PIROJPUR","Computer Operation and Graphics Design","20","0"
"PIROJPUR","Electrical Installation and Maintenance","20","0"
"PIROJPUR","Food and Beverage Production and Service","20","0"
"PIROJPUR","Tailoring and Dress Making","20","0"
"RAJBARI","Automotive Mechanics","20","0"
"RAJBARI","Electrical Installation and Maintenance","20","0"
"RAJBARI","Plumbing and Pipe Fitting","20","0"
"RAJBARI","Tailoring and Dress Making","20","0"
"RAJSHAHI","Computer Operation and Graphics Design","39","0"
"RAJSHAHI","Electrical Installation and Maintenance","20","0"
"RAJSHAHI","Tailoring and Dress Making","17","0"
"RANGPUR","Computer Operation and Graphics Design","20","0"
"RANGPUR","Electrical Installation and Maintenance","19","0"
"RANGPUR","Refrigeration and Air Conditioning","20","0"
"RANGPUR","Tailoring and Dress Making","20","0"
"SATKHIRA","Computer Operation and Graphics Design","20","0"
"SATKHIRA","Consumer Electronics","20","0"
"SATKHIRA","Electrical Installation and Maintenance","20","0"
"SATKHIRA","Refrigeration and Air Conditioning","20","0"
"SHARIATPUR","Computer Operation and Graphics Design","20","0"
"SHARIATPUR","Food and Beverage Production and Service","20","0"
"SHARIATPUR","Plumbing and Pipe Fitting","20","0"
"SHARIATPUR","Refrigeration and Air Conditioning","19","1"
"SHERPUR","Computer Operation and Graphics Design","39","1"
"SHERPUR","Consumer Electronics","19","1"
"SHERPUR","Electrical Installation and Maintenance","18","2"
"SIRAJGANJ","Consumer Electronics","20","0"
"SIRAJGANJ","Electrical Installation and Maintenance","20","0"
"SIRAJGANJ","Plumbing and Pipe Fitting","20","0"
"SIRAJGANJ","Tailoring and Dress Making","20","0"
"SYLHET","Computer Operation and Graphics Design","40","0"
"SYLHET","Consumer Electronics","18","2"
"SYLHET","Electrical Installation and Maintenance","20","0"
"TANGAIL","Automotive Mechanics","20","0"
"TANGAIL","Consumer Electronics","20","0"
"TANGAIL","Masonry and Rod Binding","20","0"
"TANGAIL","Tailoring and Dress Making","20","0"
"THAKURGAON","Computer Operation and Graphics Design","17","1"
"THAKURGAON","Electrical Installation and Maintenance","17","2"
"THAKURGAON","Plumbing and Pipe Fitting","20","0"
"THAKURGAON","Tailoring and Dress Making","20","0"
